Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2010 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2010 inflation-adjusted dollars)
1400000US36005029600,36005029600,"Census Tract 296, Bronx County, New York",29967,6632
1400000US36005029700,36005029700,"Census Tract 297, Bronx County, New York",85859,5789
1400000US36005030000,36005030000,"Census Tract 300, Bronx County, New York",51577,10735
1400000US36005030100,36005030100,"Census Tract 301, Bronx County, New York",81705,20795
1400000US36005030200,36005030200,"Census Tract 302, Bronx County, New York",51544,4342
1400000US36005030701,36005030701,"Census Tract 307.01, Bronx County, New York",77217,11513
1400000US36005030900,36005030900,"Census Tract 309, Bronx County, New York",86053,24247
1400000US36005031000,36005031000,"Census Tract 310, Bronx County, New York",90461,8865
1400000US36005031200,36005031200,"Census Tract 312, Bronx County, New York",70750,28908
1400000US36005031400,36005031400,"Census Tract 314, Bronx County, New York",72478,11403
1400000US36005031600,36005031600,"Census Tract 316, Bronx County, New York",68225,15143
1400000US36005031800,36005031800,"Census Tract 318, Bronx County, New York",66736,32489
1400000US36005031900,36005031900,"Census Tract 319, Bronx County, New York",-,**
1400000US36005032300,36005032300,"Census Tract 323, Bronx County, New York",69784,9554
1400000US36005032400,36005032400,"Census Tract 324, Bronx County, New York",26297,10806
1400000US36005032600,36005032600,"Census Tract 326, Bronx County, New York",68610,6520
1400000US36005032800,36005032800,"Census Tract 328, Bronx County, New York",37314,7312
1400000US36005033000,36005033000,"Census Tract 330, Bronx County, New York",41458,15167
1400000US36005033201,36005033201,"Census Tract 332.01, Bronx County, New York",43895,6964
1400000US36005033202,36005033202,"Census Tract 332.02, Bronx County, New York",22625,4304
1400000US36005033400,36005033400,"Census Tract 334, Bronx County, New York",28173,18633
1400000US36005033500,36005033500,"Census Tract 335, Bronx County, New York",100111,29682
1400000US36005033600,36005033600,"Census Tract 336, Bronx County, New York",28181,4632
1400000US36005033700,36005033700,"Census Tract 337, Bronx County, New York",84071,12551
1400000US36005033800,36005033800,"Census Tract 338, Bronx County, New York",42830,6245
1400000US36005034000,36005034000,"Census Tract 340, Bronx County, New York",39897,5390
1400000US36005034200,36005034200,"Census Tract 342, Bronx County, New York",70875,7691
1400000US36005034300,36005034300,"Census Tract 343, Bronx County, New York",51747,7197
1400000US36005034400,36005034400,"Census Tract 344, Bronx County, New York",36726,10164
1400000US36005034500,36005034500,"Census Tract 345, Bronx County, New York",70469,10124
1400000US36005034800,36005034800,"Census Tract 348, Bronx County, New York",44057,7051
1400000US36005035000,36005035000,"Census Tract 350, Bronx County, New York",65568,23763
1400000US36005035100,36005035100,"Census Tract 351, Bronx County, New York",62292,9146
1400000US36005035600,36005035600,"Census Tract 356, Bronx County, New York",80571,11904
1400000US36005035800,36005035800,"Census Tract 358, Bronx County, New York",60607,8907
1400000US36005035900,36005035900,"Census Tract 359, Bronx County, New York",22051,9106
1400000US36005036000,36005036000,"Census Tract 360, Bronx County, New York",66275,11221
1400000US36005036100,36005036100,"Census Tract 361, Bronx County, New York",14839,3313
1400000US36005036300,36005036300,"Census Tract 363, Bronx County, New York",20664,3075
1400000US36005036400,36005036400,"Census Tract 364, Bronx County, New York",58897,34695
1400000US36005036501,36005036501,"Census Tract 365.01, Bronx County, New York",26988,8429
1400000US36005036502,36005036502,"Census Tract 365.02, Bronx County, New York",30938,11911
1400000US36005036700,36005036700,"Census Tract 367, Bronx County, New York",17391,11944
1400000US36005036800,36005036800,"Census Tract 368, Bronx County, New York",65139,17459
1400000US36005036901,36005036901,"Census Tract 369.01, Bronx County, New York",14194,4685
1400000US36005036902,36005036902,"Census Tract 369.02, Bronx County, New York",35949,8308
1400000US36005037000,36005037000,"Census Tract 370, Bronx County, New York",68194,16643
1400000US36005037100,36005037100,"Census Tract 371, Bronx County, New York",20078,7153
1400000US36005037200,36005037200,"Census Tract 372, Bronx County, New York",52107,7571
1400000US36005037300,36005037300,"Census Tract 373, Bronx County, New York",27724,5344
1400000US36005037400,36005037400,"Census Tract 374, Bronx County, New York",18813,4582
1400000US36005037504,36005037504,"Census Tract 375.04, Bronx County, New York",19500,6827
1400000US36005037600,36005037600,"Census Tract 376, Bronx County, New York",53750,8331
1400000US36005037800,36005037800,"Census Tract 378, Bronx County, New York",44583,9580
1400000US36005037900,36005037900,"Census Tract 379, Bronx County, New York",21451,5105
1400000US36005038000,36005038000,"Census Tract 380, Bronx County, New York",35114,5266
1400000US36005038100,36005038100,"Census Tract 381, Bronx County, New York",27500,10951
1400000US36005038200,36005038200,"Census Tract 382, Bronx County, New York",48068,14865
1400000US36005038301,36005038301,"Census Tract 383.01, Bronx County, New York",25508,6283
1400000US36005038302,36005038302,"Census Tract 383.02, Bronx County, New York",17839,6689
1400000US36005038500,36005038500,"Census Tract 385, Bronx County, New York",20981,5825
1400000US36005038600,36005038600,"Census Tract 386, Bronx County, New York",41885,3987
1400000US36005038700,36005038700,"Census Tract 387, Bronx County, New York",29398,11039
1400000US36005038800,36005038800,"Census Tract 388, Bronx County, New York",36816,11963
1400000US36005038900,36005038900,"Census Tract 389, Bronx County, New York",23903,6251
1400000US36005039000,36005039000,"Census Tract 390, Bronx County, New York",35729,24118
1400000US36005039100,36005039100,"Census Tract 391, Bronx County, New York",22081,3421
1400000US36005039200,36005039200,"Census Tract 392, Bronx County, New York",57000,33513
1400000US36005039300,36005039300,"Census Tract 393, Bronx County, New York",17988,2764
1400000US36005039400,36005039400,"Census Tract 394, Bronx County, New York",35329,8844
1400000US36005039500,36005039500,"Census Tract 395, Bronx County, New York",27384,7529
1400000US36005039600,36005039600,"Census Tract 396, Bronx County, New York",41938,8900
1400000US36005039700,36005039700,"Census Tract 397, Bronx County, New York",17579,2828
1400000US36005039800,36005039800,"Census Tract 398, Bronx County, New York",57188,8778
1400000US36005039901,36005039901,"Census Tract 399.01, Bronx County, New York",21418,5241
1400000US36005039902,36005039902,"Census Tract 399.02, Bronx County, New York",24095,7969
1400000US36005040100,36005040100,"Census Tract 401, Bronx County, New York",33950,4000
1400000US36005040302,36005040302,"Census Tract 403.02, Bronx County, New York",19324,3398
1400000US36005040303,36005040303,"Census Tract 403.03, Bronx County, New York",25625,6192
1400000US36005040304,36005040304,"Census Tract 403.04, Bronx County, New York",32586,16071
1400000US36005040400,36005040400,"Census Tract 404, Bronx County, New York",48065,17432
1400000US36005040501,36005040501,"Census Tract 405.01, Bronx County, New York",29775,10037
1400000US36005040502,36005040502,"Census Tract 405.02, Bronx County, New York",24441,7444
1400000US36005040600,36005040600,"Census Tract 406, Bronx County, New York",37045,15057
1400000US36005040701,36005040701,"Census Tract 407.01, Bronx County, New York",24836,9774
1400000US36005040702,36005040702,"Census Tract 407.02, Bronx County, New York",29826,9146
1400000US36005040800,36005040800,"Census Tract 408, Bronx County, New York",32175,6718
1400000US36005040900,36005040900,"Census Tract 409, Bronx County, New York",50313,9288
1400000US36005041100,36005041100,"Census Tract 411, Bronx County, New York",39623,5342
1400000US36005041300,36005041300,"Census Tract 413, Bronx County, New York",40862,5296
1400000US36005041400,36005041400,"Census Tract 414, Bronx County, New York",48966,4817
1400000US36005041500,36005041500,"Census Tract 415, Bronx County, New York",30594,9808
1400000US36005041800,36005041800,"Census Tract 418, Bronx County, New York",42703,8415
1400000US36005041900,36005041900,"Census Tract 419, Bronx County, New York",33426,7381
1400000US36005042000,36005042000,"Census Tract 420, Bronx County, New York",51193,6634
1400000US36005042100,36005042100,"Census Tract 421, Bronx County, New York",35659,7388
1400000US36005042200,36005042200,"Census Tract 422, Bronx County, New York",49052,14377
1400000US36005042300,36005042300,"Census Tract 423, Bronx County, New York",37730,8604
1400000US36005042400,36005042400,"Census Tract 424, Bronx County, New York",65952,28130
1400000US36005042500,36005042500,"Census Tract 425, Bronx County, New York",31381,5920
1400000US36005042600,36005042600,"Census Tract 426, Bronx County, New York",68026,13426
1400000US36005042800,36005042800,"Census Tract 428, Bronx County, New York",70313,16497
1400000US36005042901,36005042901,"Census Tract 429.01, Bronx County, New York",27324,14123
1400000US36005042902,36005042902,"Census Tract 429.02, Bronx County, New York",29347,8487
1400000US36005043000,36005043000,"Census Tract 430, Bronx County, New York",48990,6832
1400000US36005043100,36005043100,"Census Tract 431, Bronx County, New York",32027,8562
1400000US36005043400,36005043400,"Census Tract 434, Bronx County, New York",44180,10261
1400000US36005043500,36005043500,"Census Tract 435, Bronx County, New York",17604,23082
1400000US36005043600,36005043600,"Census Tract 436, Bronx County, New York",51000,5136
1400000US36005044200,36005044200,"Census Tract 442, Bronx County, New York",38900,9191
1400000US36005044400,36005044400,"Census Tract 444, Bronx County, New York",58534,9638
1400000US36005044800,36005044800,"Census Tract 448, Bronx County, New York",76190,13070
1400000US36005044901,36005044901,"Census Tract 449.01, Bronx County, New York",63346,28829
1400000US36005044902,36005044902,"Census Tract 449.02, Bronx County, New York",55938,27425
1400000US36005045101,36005045101,"Census Tract 451.01, Bronx County, New York",52988,10797
1400000US36005045102,36005045102,"Census Tract 451.02, Bronx County, New York",72188,11842
1400000US36005045600,36005045600,"Census Tract 456, Bronx County, New York",64688,14365
1400000US36005045800,36005045800,"Census Tract 458, Bronx County, New York",26343,5522
1400000US36005046000,36005046000,"Census Tract 460, Bronx County, New York",34273,7163
1400000US36005046201,36005046201,"Census Tract 462.01, Bronx County, New York",48005,2713
1400000US36005046202,36005046202,"Census Tract 462.02, Bronx County, New York",36155,3751
1400000US36005048400,36005048400,"Census Tract 484, Bronx County, New York",55577,24397
1400000US36005050400,36005050400,"Census Tract 504, Bronx County, New York",-,**
1400000US36005051600,36005051600,"Census Tract 516, Bronx County, New York",64701,9750
1400000US36047000100,36047000100,"Census Tract 1, Kings County, New York",85396,8405
1400000US36047000200,36047000200,"Census Tract 2, Kings County, New York",54688,27555
1400000US36047000301,36047000301,"Census Tract 3.01, Kings County, New York",160833,52865
1400000US36047000501,36047000501,"Census Tract 5.01, Kings County, New York",80107,19341
1400000US36047000502,36047000502,"Census Tract 5.02, Kings County, New York",89545,13522
1400000US36047000700,36047000700,"Census Tract 7, Kings County, New York",129097,27389
1400000US36047000900,36047000900,"Census Tract 9, Kings County, New York",97385,18091
1400000US36047001100,36047001100,"Census Tract 11, Kings County, New York",73269,33817
1400000US36047001300,36047001300,"Census Tract 13, Kings County, New York",92599,17096
1400000US36047001500,36047001500,"Census Tract 15, Kings County, New York",51875,32340
1400000US36047001800,36047001800,"Census Tract 18, Kings County, New York",-,**
1400000US36047002000,36047002000,"Census Tract 20, Kings County, New York",34063,25679
1400000US36047002100,36047002100,"Census Tract 21, Kings County, New York",163147,19329
1400000US36047002200,36047002200,"Census Tract 22, Kings County, New York",38070,6991
